PIs,POs,AND_Gates_Before,Levels_Before,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,ND,Edge,Area,Delay,Levels_After,Power
177,128,1169,14,compress,drf,rwsat,resyn,drwsat2,rewrite,compress2,compress,resyn,share,drf,resub,dc2,resyn,rwsat,compress2,drw,rewrite,choice,strash,537,1455,537.0,9.0,9,611.32
164,132,930,11,resub -z,rewrite,share,refactor -z,choice,strash,rewrite,refactor,balance,resyn2a,rewrite,compress,resyn2a,compress2,rewrite,balance,dc2,resyn2a,rewrite,resub -z,418,1111,418.0,6.0,6,502.58
45,45,1577,14,share,compress2,resyn3,balance,compress,drwsat2,choice,strash,refactor -z,dc2,balance,compress2,resyn2,drf,dc2,resyn2,rwsat,rwsat,balance,resyn,638,1907,638.0,8.0,8,503.36
45,45,1577,14,resyn,rewrite,refactor -z,choice2,strash,refactor -z,choice2,strash,drf,balance,share,rewrite -z,refactor -z,compress2,choice2,strash,choice,strash,resub -z,resyn3,694,2079,694.0,8.0,8,549.37
177,128,1169,14,balance,balance,compress2,rewrite,rwsat,resyn,choice2,strash,resub,resyn2,compress2,drf,drf,dc2,refactor -z,refactor -z,choice,strash,refactor,resub -z,596,1507,596.0,8.0,8,666.19
207,107,2198,30,resyn,refactor -z,dc2,dc2,balance,balance,resyn2a,balance,drwsat2,compress,drf,drwsat2,drf,choice2,strash,rwsat,choice2,strash,resyn,resyn,879,1947,879.0,24.0,24,996.76
512,130,2865,287,resub,share,drf,resyn2,drw,refactor,rwsat,drwsat2,rwsat,drf,resyn2,resyn3,resyn,resyn3,share,choice2,strash,choice,strash,rewrite -z,1965,4437,1965.0,94.0,94,2258.0
32,32,2337,120,share,refactor -z,drw,rewrite -z,dc2,resub,resub -z,rewrite -z,rewrite -z,resyn2,resyn2,rewrite -z,dc2,choice,strash,choice2,strash,rwsat,refactor -z,rwsat,1447,2993,1447.0,45.0,45,1438.2
45,45,1577,14,choice,strash,rewrite -z,resub -z,drw,compress,drw,resyn2,resyn2a,resyn2a,refactor -z,refactor -z,rwsat,balance,resyn2a,rwsat,drf,share,choice2,strash,665,2021,665.0,8.0,8,537.12
24,25,5416,225,resub,rewrite,drwsat2,resub,resyn3,drw,drwsat2,compress,drwsat2,resyn2a,share,balance,drf,share,rewrite -z,refactor,resub,rewrite,rewrite -z,dc2,3384,8857,3384.0,82.0,82,3284.27
177,128,1169,14,drwsat2,rewrite,drf,refactor -z,drf,resub -z,resyn3,refactor -z,choice,strash,resub -z,resub,refactor,resyn2a,drw,refactor -z,rewrite,share,compress,resub,543,1463,543.0,7.0,7,627.38
32,32,2337,120,resyn2a,share,compress2,balance,refactor,rwsat,refactor,share,balance,drw,resub,choice,strash,refactor -z,rewrite -z,resyn2a,drf,resub,resyn2,compress,2157,5072,2157.0,50.0,50,2307.25
32,32,2337,120,resyn2,compress,resyn3,choice2,strash,choice2,strash,resyn,share,refactor,rewrite,rewrite,rwsat,drw,drwsat2,compress,compress,resyn2,drwsat2,rewrite,1950,4511,1950.0,47.0,47,2099.53
207,107,2198,30,refactor -z,choice,strash,drw,refactor -z,choice,strash,drf,drw,resub,resyn2,drwsat2,drwsat2,dc2,drf,rewrite -z,refactor -z,resub -z,drwsat2,balance,856,1918,856.0,18.0,18,976.52
135,125,613,8,resyn,resyn3,resub,compress2,dc2,resub,resyn2,resub,refactor,choice2,strash,compress2,compress2,refactor,resub -z,refactor,refactor -z,choice,strash,drw,270,723,270.0,5.0,5,397.72
177,128,1169,14,choice,strash,resyn2a,resub -z,refactor -z,resyn2,resyn2,resyn2,rwsat,resub -z,drwsat2,dc2,resub,rewrite -z,resyn3,rewrite -z,resyn3,compress,resub -z,rewrite,598,1544,598.0,8.0,8,674.91
24,25,5416,225,dc2,refactor -z,drwsat2,choice,strash,rewrite -z,resyn,balance,resub,refactor,resub -z,rwsat,choice,strash,choice,strash,drw,resyn3,compress2,resyn2,3239,8500,3239.0,78.0,78,3106.8
207,107,2198,30,resyn2,choice,strash,compress2,rwsat,compress,resyn3,resub,resyn2,choice,strash,rewrite,rewrite -z,choice2,strash,share,compress2,rewrite,compress,resyn,820,1814,820.0,26.0,26,936.18
24,25,5416,225,rewrite,drf,drf,balance,resub,rewrite,resub -z,drw,balance,resyn2,drwsat2,rewrite -z,refactor,dc2,compress,resyn2,drw,compress,resyn2,refactor,3208,8386,3208.0,78.0,78,3054.94
207,107,2198,30,resyn2a,compress,choice,strash,balance,resyn,share,compress,choice2,strash,resub -z,drw,resub,resub -z,compress,resyn2,dc2,resyn2a,refactor,drwsat2,853,1917,853.0,19.0,19,974.6
32,32,2337,120,resyn3,resyn2a,choice2,strash,resub,refactor -z,share,dc2,compress,balance,dc2,resyn2a,choice,strash,drwsat2,balance,rewrite -z,refactor -z,resyn2,resyn3,2046,4754,2046.0,48.0,48,2197.73
512,130,2865,287,share,compress,rwsat,choice,strash,compress,balance,refactor -z,share,choice2,strash,resyn2a,choice,strash,rewrite -z,refactor -z,refactor -z,resyn3,refactor,resyn,2023,4562,2023.0,89.0,89,2323.45
26,11,1592,31,drw,resub,resyn,refactor,rewrite -z,resyn,resyn3,rewrite,dc2,drwsat2,balance,compress,dc2,resub -z,refactor -z,choice2,strash,rewrite,choice,strash,535,1501,535.0,11.0,11,685.07
177,128,1169,14,resyn3,dc2,compress,compress2,compress,rewrite -z,refactor,resub,resub -z,balance,compress2,compress2,drf,refactor,drw,rwsat,dc2,dc2,compress,drw,589,1519,589.0,8.0,8,655.23
177,128,1169,14,resyn2,resub -z,rewrite -z,resyn3,drwsat2,choice2,strash,share,share,rewrite,compress2,resyn2a,resyn2a,rewrite,drf,drw,drw,dc2,choice2,strash,532,1437,532.0,9.0,9,621.02
32,32,2337,120,resyn3,compress2,resub,dc2,rewrite -z,refactor,drw,rewrite -z,choice2,strash,choice2,strash,resyn2a,compress2,resyn2a,rwsat,drf,share,resub -z,rwsat,2262,5322,2262.0,49.0,49,2460.7
512,130,2865,287,choice2,strash,compress,choice2,strash,resub -z,drwsat2,rwsat,balance,compress,resyn2a,resyn,compress2,resyn3,share,resyn,rewrite -z,rewrite,resyn2,resub,2097,4585,2097.0,105.0,105,2340.2
26,11,1592,31,resub -z,resub,drf,rewrite -z,resyn2,compress2,drf,drf,share,resyn3,refactor -z,rewrite,resyn2,drwsat2,resyn,resub -z,resyn2a,drwsat2,balance,refactor -z,541,1506,541.0,9.0,9,669.02
177,128,1169,14,compress,rewrite -z,resyn,compress2,dc2,compress2,rwsat,resub,share,choice2,strash,compress2,resub,drwsat2,resub -z,share,drf,compress,compress,refactor -z,541,1474,541.0,7.0,7,632.13
135,125,613,8,resyn2,drf,resyn,rewrite -z,resyn2,refactor -z,drwsat2,resub -z,dc2,resyn,drwsat2,resub,resub,choice2,strash,choice2,strash,resyn3,resyn2a,compress2,331,849,331.0,5.0,5,457.95
26,11,1592,31,resub,choice,strash,rewrite -z,choice2,strash,drw,refactor -z,share,rewrite -z,refactor,resyn2a,drwsat2,resyn,resyn,dc2,rwsat,compress,refactor,resyn3,541,1495,541.0,9.0,9,661.19
207,107,2198,30,compress,dc2,choice2,strash,choice,strash,drf,dc2,resub -z,drwsat2,dc2,compress,compress2,resub -z,resyn2,rewrite,resyn3,resub,dc2,resyn3,815,1813,815.0,24.0,24,931.77
45,45,1577,14,resyn2a,dc2,compress,dc2,compress,share,refactor -z,choice,strash,drf,resyn2a,dc2,resyn2a,choice2,strash,refactor,dc2,drwsat2,drf,compress,663,1961,663.0,8.0,8,508.04
32,32,2337,120,compress,resub,refactor -z,resyn,rewrite -z,choice2,strash,rewrite,resyn2a,refactor,drf,choice,strash,resub,share,dc2,rwsat,choice2,strash,compress2,2065,4886,2065.0,48.0,48,2260.19
32,32,2337,120,resyn,compress,resyn,refactor -z,compress2,resub,resub -z,resyn3,share,rewrite,balance,dc2,resyn3,choice2,strash,rewrite -z,drwsat2,resyn3,resub -z,refactor -z,1916,4404,1916.0,49.0,49,2057.82
164,132,930,11,drf,resyn2,resub,balance,resub -z,choice2,strash,rewrite -z,refactor,rewrite -z,compress,compress2,compress,drf,choice2,strash,dc2,rwsat,resyn2a,drwsat2,466,1207,466.0,7.0,7,588.52
135,125,613,8,resyn2,resyn,compress2,resyn2,choice2,strash,share,balance,drw,rewrite,resyn3,resyn2,choice,strash,drwsat2,choice,strash,drwsat2,compress2,compress2,351,876,351.0,4.0,4,454.24
32,32,2337,120,rwsat,dc2,compress2,resyn3,balance,compress,share,rwsat,share,compress,share,refactor,drwsat2,compress,drw,refactor,resyn3,resub,dc2,resyn,1743,3839,1743.0,47.0,47,1812.11
512,130,2865,287,resyn3,refactor,refactor -z,choice2,strash,drwsat2,drw,resub -z,drw,resyn2,choice2,strash,resyn2,drf,drf,refactor,drf,resyn2a,resyn3,refactor,2104,4713,2104.0,82.0,82,2401.51
164,132,930,11,choice2,strash,resyn2,share,refactor -z,drw,compress2,share,resyn2,share,resub,balance,resyn3,resyn,choice2,strash,balance,rewrite,balance,resyn2,416,1133,416.0,6.0,6,519.45
26,11,1592,31,drwsat2,refactor,choice2,strash,drw,dc2,rewrite -z,refactor,drf,rewrite -z,resub,dc2,rewrite -z,choice2,strash,dc2,resub -z,rwsat,resub,rwsat,494,1363,494.0,9.0,9,620.8
45,45,1577,14,share,choice,strash,resyn2,dc2,resyn2a,resub -z,rewrite,compress2,share,resyn3,share,choice2,strash,drwsat2,resub,compress2,resyn2a,resyn2,refactor -z,643,1866,643.0,8.0,8,511.82
32,32,2337,120,rwsat,refactor -z,rewrite -z,rewrite -z,refactor,rewrite,drw,rewrite,resub -z,compress,compress2,drf,resub -z,resyn,compress2,balance,resyn2,rwsat,choice,strash,1479,3033,1479.0,45.0,45,1447.18
32,32,2337,120,resyn2a,resyn,drf,rwsat,resub,rwsat,drwsat2,resub -z,share,choice,strash,dc2,dc2,share,rewrite,drw,choice,strash,choice2,strash,2161,5032,2161.0,51.0,51,2329.06
207,107,2198,30,refactor,resub,choice2,strash,choice2,strash,refactor,resyn,resyn2a,resyn,compress2,drw,drwsat2,drf,drwsat2,resub,share,refactor,rwsat,resub -z,808,1792,808.0,26.0,26,928.34
24,25,5416,225,choice2,strash,drf,compress,choice,strash,resyn3,compress,choice,strash,choice,strash,resyn2,choice,strash,drf,dc2,choice2,strash,dc2,3301,8524,3301.0,80.0,80,3141.33
32,32,2337,120,resyn2,resyn2,refactor -z,refactor,resyn2,choice,strash,resyn3,drw,resub -z,resyn2a,dc2,balance,resub,resyn2a,share,resub -z,refactor -z,rwsat,refactor,2273,5348,2273.0,49.0,49,2472.62
24,25,5416,225,choice,strash,dc2,resub -z,dc2,compress2,drw,share,resub -z,resyn2a,choice2,strash,choice2,strash,resyn,resub -z,resyn,drw,resyn3,resyn2a,3374,8957,3374.0,76.0,76,3345.91
207,107,2198,30,choice,strash,resub -z,drf,dc2,choice,strash,choice,strash,resub,resub,drwsat2,resyn3,share,refactor,dc2,drf,compress2,compress,dc2,812,1818,812.0,25.0,25,934.48
24,25,5416,225,choice,strash,drw,share,rewrite,resyn2a,compress,share,refactor -z,refactor -z,refactor,resub,rewrite,drwsat2,dc2,resyn,share,choice2,strash,resyn,3364,8899,3364.0,76.0,76,3281.29
135,125,613,8,resub,resyn,dc2,refactor -z,resyn2,resyn2a,resyn3,rewrite -z,resyn2a,resub -z,rwsat,rewrite -z,balance,rewrite -z,resyn3,refactor,rewrite,rewrite,choice,strash,327,857,327.0,4.0,4,462.83
24,25,5416,225,refactor -z,choice2,strash,compress2,rwsat,compress2,balance,resyn,rwsat,resyn2a,resyn2,compress2,rwsat,resyn3,rewrite,refactor,refactor,choice2,strash,compress,3369,9067,3369.0,79.0,79,3396.17
26,11,1592,31,rwsat,rewrite -z,resyn3,compress,choice2,strash,rewrite -z,resyn,rwsat,compress,compress2,dc2,compress2,compress,choice,strash,resyn2a,choice2,strash,drf,549,1519,549.0,10.0,10,694.72
512,130,2865,287,drw,compress2,resyn,resyn3,resyn2a,dc2,resyn2a,resub -z,rwsat,rwsat,resub,balance,dc2,rewrite,rewrite -z,choice,strash,resyn2a,share,resyn,2013,4500,2013.0,104.0,104,2297.03
26,11,1592,31,resyn3,compress2,rewrite,resub -z,resub -z,balance,resyn2,dc2,refactor,compress2,drwsat2,resub,dc2,choice,strash,resub,drf,resub,drw,drw,515,1435,515.0,10.0,10,650.14
135,125,613,8,resub,compress,choice2,strash,resub,choice,strash,resyn3,compress,resub,balance,drwsat2,compress,resyn2a,drwsat2,choice,strash,rwsat,refactor,resyn2a,335,863,335.0,5.0,5,463.83
32,32,2337,120,resub -z,compress2,drw,compress2,drf,drwsat2,choice2,strash,rewrite,drf,resub,drf,resyn2,rewrite -z,resub -z,share,resyn2,resub,choice,strash,1942,4405,1942.0,49.0,49,2061.52
32,32,2337,120,resyn2,resyn3,compress2,resyn2a,choice2,strash,compress2,rewrite,dc2,resyn2a,refactor -z,compress2,drw,resyn3,rwsat,drw,rewrite -z,resyn3,resyn,refactor -z,1474,3073,1474.0,45.0,45,1460.7
164,132,930,11,resub -z,compress,resyn,rwsat,rewrite -z,resub,drwsat2,drw,refactor -z,drwsat2,resyn2,resyn,resub -z,drw,resyn,refactor,choice,strash,rwsat,resub,478,1217,478.0,6.0,6,594.71
24,25,5416,225,compress2,share,refactor -z,resyn3,balance,resyn2,resub -z,rewrite -z,rwsat,resyn2a,balance,compress2,compress2,rwsat,drwsat2,drf,rewrite,compress,drf,resyn,3327,8836,3327.0,80.0,80,3290.92
512,130,2865,287,choice,strash,rewrite,drf,resub,drw,refactor,resyn,resyn3,rwsat,dc2,choice,strash,resyn,balance,drwsat2,choice,strash,dc2,resub,1942,4447,1942.0,117.0,117,2262.02
32,32,2337,120,dc2,refactor,dc2,compress2,resyn,dc2,choice2,strash,rwsat,resyn2a,choice2,strash,drwsat2,drf,share,resyn2a,choice2,strash,choice,strash,2078,4921,2078.0,47.0,47,2260.81
164,132,930,11,refactor -z,drf,dc2,share,compress2,resyn2a,drf,resyn2,resyn2,drw,compress,compress2,rewrite -z,refactor -z,drwsat2,rewrite -z,dc2,refactor -z,refactor -z,drf,396,1090,396.0,8.0,8,495.32
177,128,1169,14,resyn3,dc2,choice,strash,rwsat,resub,rewrite -z,rewrite,resub -z,rwsat,choice2,strash,refactor -z,refactor -z,rewrite,resub -z,refactor -z,drf,dc2,resyn2a,591,1553,591.0,8.0,8,668.38
177,128,1169,14,choice,strash,share,drwsat2,resub,resub,drf,resub -z,share,resyn3,resyn,choice2,strash,resub,drf,refactor -z,drw,choice,strash,rewrite,523,1432,523.0,8.0,8,613.58
164,132,930,11,resyn,rewrite -z,share,rewrite,resyn2,dc2,drf,drw,rwsat,resyn2,rewrite,compress2,resyn,rewrite -z,refactor,drwsat2,rewrite,refactor,rwsat,refactor -z,396,1099,396.0,6.0,6,497.97
512,130,2865,287,rewrite -z,resyn,compress2,refactor,refactor,refactor,drf,drf,resub,choice2,strash,resyn,rwsat,resyn,resyn3,dc2,share,refactor -z,resyn2a,compress,2125,4667,2125.0,118.0,118,2378.76
177,128,1169,14,dc2,choice2,strash,choice2,strash,choice2,strash,drf,balance,compress2,share,drw,share,resyn3,drwsat2,resyn2a,resub,balance,balance,resyn3,556,1486,556.0,7.0,7,632.36
45,45,1577,14,drf,drw,compress,resyn3,drw,share,refactor -z,resyn2,compress2,choice2,strash,drw,refactor,rewrite,resyn2a,dc2,resyn3,compress,dc2,refactor -z,640,1955,640.0,8.0,8,517.46
135,125,613,8,compress,compress2,rewrite,rewrite,drf,choice2,strash,refactor,balance,refactor,refactor -z,resyn2a,resyn,drf,rewrite -z,dc2,choice2,strash,choice,strash,312,826,312.0,6.0,6,446.61
177,128,1169,14,resub,rewrite,share,dc2,drwsat2,choice,strash,drw,drf,share,dc2,drwsat2,refactor,resyn2a,resub -z,choice2,strash,resub,resyn2,drw,536,1492,536.0,8.0,8,623.13
207,107,2198,30,resub,resyn3,resyn3,rewrite -z,share,resyn2,share,compress2,resyn,resub,resub,resyn2a,refactor -z,drf,drf,resyn3,drwsat2,drf,resyn,compress,797,1794,797.0,26.0,26,928.38
207,107,2198,30,refactor,share,dc2,refactor -z,compress,refactor,resub -z,resyn,refactor -z,resyn,choice,strash,resyn3,drw,resyn2a,resub,choice2,strash,compress,resyn3,840,1890,840.0,23.0,23,965.55
45,45,1577,14,resyn3,resyn3,resub -z,dc2,refactor -z,resyn2a,resyn3,resyn2,resyn,choice,strash,balance,resyn2,rwsat,refactor -z,drf,drwsat2,rwsat,rewrite -z,resyn3,726,2194,726.0,8.0,8,584.17
32,32,2337,120,resyn2,resub -z,rwsat,balance,resyn,refactor -z,rwsat,refactor,resyn2a,share,resyn2,refactor,rewrite,refactor,compress,choice,strash,drw,compress2,refactor,1993,4597,1993.0,48.0,48,2135.72
26,11,1592,31,rewrite -z,resyn2,resyn2,resyn,drf,rwsat,compress,drw,share,share,compress2,dc2,drwsat2,rwsat,choice2,strash,compress,choice,strash,resub -z,529,1486,529.0,8.0,8,652.92
32,32,2337,120,choice,strash,resub,refactor,resyn,rwsat,resyn,choice2,strash,dc2,resub,share,resub,balance,compress,rewrite,refactor,resyn3,resyn3,resyn,2179,5080,2179.0,49.0,49,2376.3
26,11,1592,31,dc2,balance,share,refactor -z,drf,dc2,resyn2a,dc2,drw,resyn,rewrite,resyn3,drwsat2,dc2,balance,resyn2a,compress,resub,resyn2a,refactor -z,499,1388,499.0,9.0,9,619.45
26,11,1592,31,rewrite,refactor,rewrite,choice,strash,refactor -z,choice,strash,choice2,strash,refactor,choice,strash,refactor,rewrite -z,choice2,strash,balance,dc2,resub -z,526,1459,526.0,11.0,11,662.95
164,132,930,11,dc2,compress2,resyn2,share,refactor,compress2,share,compress2,refactor -z,balance,resyn2a,resyn3,refactor,balance,resub -z,resub,refactor -z,refactor,refactor -z,compress,396,1088,396.0,7.0,7,506.04
177,128,1169,14,compress,choice,strash,dc2,resyn2a,compress2,drw,balance,refactor -z,refactor -z,balance,resyn2,rewrite -z,resub -z,rwsat,dc2,resyn2,resyn3,compress2,resub -z,568,1478,568.0,8.0,8,645.16
135,125,613,8,resyn2a,resyn,rewrite,resyn2a,refactor -z,resyn2a,resyn2,choice2,strash,balance,resyn3,compress2,choice2,strash,resyn2,resyn,resyn,dc2,balance,drw,345,854,345.0,5.0,5,461.01
135,125,613,8,drw,balance,resub,compress2,drw,refactor,drwsat2,resyn2a,choice,strash,choice,strash,compress2,resyn2a,drf,share,resub -z,resyn,resyn,share,351,876,351.0,4.0,4,453.89
177,128,1169,14,rewrite,resyn,resyn2a,resyn,share,choice2,strash,refactor,resub -z,rewrite -z,drwsat2,choice2,strash,rwsat,resyn2a,refactor,choice,strash,rwsat,drf,558,1505,558.0,8.0,8,629.9
45,45,1577,14,resyn3,resub,resub -z,resub -z,compress,drwsat2,resyn,rwsat,rewrite,rewrite -z,resub,resyn2,refactor,resub -z,share,resub,rwsat,dc2,resub,refactor -z,694,2087,694.0,8.0,8,566.47
177,128,1169,14,drwsat2,refactor,resub -z,rewrite,refactor -z,drf,resyn3,resub,resub,drwsat2,resub,rewrite -z,compress,resub -z,refactor,dc2,compress2,choice,strash,rewrite -z,579,1525,579.0,8.0,8,657.26
512,130,2865,287,choice2,strash,rewrite -z,share,drwsat2,resyn3,resyn2a,choice,strash,compress,choice,strash,rwsat,resyn2,refactor,resub -z,dc2,refactor -z,refactor,drf,2114,4730,2114.0,116.0,116,2408.57
207,107,2198,30,resub -z,drwsat2,share,resub -z,choice,strash,drf,drw,drf,resyn,resyn3,rewrite,refactor -z,drw,rewrite -z,rwsat,resub -z,resub,resyn2a,resub,842,1869,842.0,23.0,23,963.4
32,32,2337,120,resyn3,share,drf,drf,resub -z,resyn3,refactor,share,choice2,strash,refactor,refactor -z,share,rewrite -z,rwsat,resyn2a,dc2,rewrite -z,refactor -z,rwsat,2338,5539,2338.0,49.0,49,2559.94
32,32,2337,120,resub,compress,drwsat2,balance,resub,share,refactor -z,resyn2,balance,compress,resyn2a,refactor,choice2,strash,dc2,resyn2a,refactor,resub -z,resyn,refactor -z,2059,4791,2059.0,49.0,49,2210.03
512,130,2865,287,resub,drw,resub -z,resyn2a,choice2,strash,drwsat2,rewrite -z,rewrite,rewrite -z,drwsat2,resyn,dc2,refactor -z,compress2,resyn2a,resub,refactor,resyn,resub -z,2133,4686,2133.0,92.0,92,2379.79
512,130,2865,287,choice2,strash,choice,strash,compress,refactor -z,compress2,share,refactor -z,compress2,drw,balance,resyn2,resub,balance,resyn3,resyn3,drf,compress2,rewrite,1939,4314,1939.0,113.0,113,2208.82
177,128,1169,14,resyn3,drf,rwsat,compress,rwsat,refactor,compress,balance,rewrite -z,resyn2,refactor -z,rewrite,resyn,choice2,strash,drf,resub,dc2,drw,drf,579,1516,579.0,8.0,8,662.35
177,128,1169,14,rewrite -z,compress,rewrite -z,resyn,resub,rwsat,choice2,strash,rewrite,resub -z,compress2,refactor -z,refactor,share,resub,drw,drwsat2,resyn2a,resyn,refactor -z,546,1479,546.0,7.0,7,642.81
512,130,2865,287,compress,resyn2,resyn3,rewrite -z,resyn,choice2,strash,resub -z,rewrite,resyn,refactor,resub,balance,balance,resyn2,drf,rwsat,resub -z,resub,share,1939,4375,1939.0,109.0,109,2229.54
177,128,1169,14,refactor,dc2,resyn2,share,resyn2a,drf,resyn,resyn3,rewrite,drwsat2,drwsat2,refactor,drwsat2,refactor,resyn2a,drwsat2,dc2,drwsat2,drwsat2,resyn,535,1414,535.0,8.0,8,599.52
135,125,613,8,choice2,strash,compress,share,choice2,strash,compress,resub,dc2,refactor -z,balance,balance,choice,strash,resyn,resub -z,compress,choice,strash,rewrite -z,330,837,330.0,5.0,5,432.89
177,128,1169,14,dc2,compress2,resyn2a,resyn2,resyn3,resub,resyn,rewrite -z,rewrite,balance,choice2,strash,resyn2,compress,resyn3,choice,strash,choice,strash,drwsat2,594,1570,594.0,8.0,8,676.28
26,11,1592,31,rewrite,resub,choice2,strash,balance,compress2,resub,share,resyn2,drw,rewrite -z,resub,resyn3,refactor -z,share,compress,resyn,drf,choice,strash,521,1466,521.0,10.0,10,645.86
512,130,2865,287,drw,balance,refactor -z,resub,resyn,drf,drwsat2,resyn,refactor,choice2,strash,rewrite,rwsat,choice,strash,dc2,resyn,compress2,rewrite -z,resyn2a,2025,4521,2025.0,86.0,86,2306.75
45,45,1577,14,refactor -z,choice2,strash,choice,strash,resyn2a,refactor -z,resub,rewrite,resub,choice,strash,resyn2,resyn2a,share,resub,resub,refactor,drwsat2,resyn3,729,2224,729.0,7.0,7,597.91
512,130,2865,287,resub,refactor -z,resyn2a,resub -z,choice2,strash,resyn2a,refactor,rewrite -z,balance,rewrite,choice2,strash,choice2,strash,resyn,drwsat2,balance,compress2,refactor -z,2033,4655,2033.0,85.0,85,2371.25
164,132,930,11,rewrite,refactor -z,resub,resyn2a,refactor,choice,strash,rwsat,drwsat2,compress,rewrite,balance,refactor -z,resub,refactor,drw,resyn2,resyn,drw,drwsat2,454,1189,454.0,6.0,6,580.08
512,130,2865,287,choice2,strash,dc2,share,rewrite -z,balance,rwsat,rewrite,refactor,resyn,drf,resyn2a,resyn,share,refactor -z,choice2,strash,drwsat2,resub,resyn,1883,4384,1883.0,91.0,91,2233.0
26,11,1592,31,choice,strash,resub -z,compress,resyn2a,compress2,dc2,rwsat,refactor -z,refactor -z,resyn3,resyn,resyn3,resyn,resyn3,resyn2a,choice,strash,resyn3,compress2,520,1416,520.0,10.0,10,653.92
135,125,613,8,resyn2a,resyn,drwsat2,resyn3,resyn2a,refactor -z,dc2,balance,rewrite -z,rwsat,compress,drw,drwsat2,resyn2a,resub,drwsat2,share,choice,strash,balance,342,862,342.0,4.0,4,447.36
135,125,613,8,resyn2,drf,drf,resyn2a,choice,strash,resub,choice2,strash,resub -z,resyn2,compress,drw,compress,refactor,compress2,refactor -z,drw,resyn,resyn3,329,851,329.0,5.0,5,459.65
45,45,1577,14,drf,balance,choice2,strash,drf,drf,share,resub -z,choice,strash,refactor -z,resub -z,refactor,choice,strash,resub -z,share,resub -z,drf,balance,659,1961,659.0,8.0,8,522.13
135,125,613,8,resyn2a,balance,choice,strash,resyn2,drw,dc2,compress,drf,resub,resyn3,rewrite,rwsat,balance,resyn2,drw,refactor -z,rewrite -z,compress,rwsat,329,855,329.0,5.0,5,460.04
32,32,2337,120,refactor,drw,rewrite -z,drf,refactor,resyn,resyn,resub -z,choice2,strash,rwsat,drwsat2,resub -z,resub,rewrite -z,resyn2,dc2,compress2,resyn2a,balance,1476,3077,1476.0,45.0,45,1462.48
45,45,1577,14,drf,dc2,choice2,strash,rewrite,resyn,choice2,strash,choice,strash,drf,resyn3,resyn,resyn2a,resyn3,compress2,drwsat2,rwsat,drwsat2,refactor,710,2152,710.0,8.0,8,569.83
177,128,1169,14,resub -z,choice,strash,compress2,resyn,drf,resyn3,drw,dc2,resyn3,resyn,compress2,drf,drf,drw,compress,rewrite -z,drw,share,resyn,551,1465,551.0,8.0,8,625.96
45,45,1577,14,resyn2,resyn,share,balance,resyn2,rwsat,balance,rewrite -z,resyn2a,refactor -z,resyn2a,resub -z,compress,resyn3,choice2,strash,share,dc2,refactor,rewrite,644,1914,644.0,8.0,8,502.48
45,45,1577,14,rwsat,resyn2a,compress2,rewrite -z,balance,share,resyn3,drw,resub,drw,drwsat2,resyn3,drf,compress,resyn2a,resub,drf,resyn2,rewrite -z,rwsat,656,1980,656.0,8.0,8,515.65
26,11,1592,31,balance,dc2,compress,share,balance,resub -z,drwsat2,choice,strash,resub -z,refactor,rewrite -z,resyn2a,refactor -z,drf,refactor -z,choice2,strash,dc2,rewrite -z,526,1454,526.0,10.0,10,647.71
24,25,5416,225,resub -z,resub -z,choice,strash,rewrite -z,compress,refactor -z,dc2,rewrite,drf,rwsat,drf,compress2,resyn,share,choice2,strash,rewrite,resyn,drf,3490,9190,3490.0,77.0,77,3424.44
24,25,5416,225,drw,refactor,choice,strash,resyn,rwsat,dc2,rewrite -z,rewrite -z,resyn,compress2,compress,dc2,resub -z,balance,drf,balance,refactor,choice2,strash,3274,8586,3274.0,78.0,78,3174.52
24,25,5416,225,choice,strash,choice,strash,drwsat2,compress,balance,resyn3,resyn2a,resyn3,resyn3,share,refactor,dc2,choice,strash,drw,refactor -z,resyn,resyn2,3580,9393,3580.0,77.0,77,3518.33
45,45,1577,14,resyn2a,rewrite -z,drf,compress2,compress,rewrite -z,resub -z,compress2,share,choice2,strash,rwsat,drwsat2,share,resyn2a,rewrite,choice,strash,resyn,resub -z,656,1973,656.0,8.0,8,520.63
135,125,613,8,balance,compress,drf,share,dc2,resyn2,resyn,drw,choice,strash,rewrite,refactor -z,rewrite -z,drw,rewrite -z,drwsat2,balance,resub,rewrite -z,balance,328,862,328.0,5.0,5,442.06
207,107,2198,30,drf,dc2,resyn3,dc2,rewrite,rwsat,compress2,refactor,resub -z,choice,strash,resyn3,resyn2a,compress,refactor,drw,share,drw,resyn2a,resyn3,816,1834,816.0,19.0,19,943.73
45,45,1577,14,rwsat,refactor,compress,resub,dc2,choice,strash,rewrite -z,balance,resyn3,drw,resyn2a,resub -z,balance,resub -z,drwsat2,resyn3,choice2,strash,rewrite,730,2239,730.0,7.0,7,596.08
512,130,2865,287,resub,drw,drwsat2,refactor,resyn2a,compress,choice2,strash,refactor,compress,resyn3,rewrite,choice2,strash,drf,compress2,balance,rewrite -z,drw,drw,2026,4556,2026.0,100.0,100,2319.73
